news_headline,news_article,news_category,full_text,clean_text,sentiment_score,sentiment_category
Good for team to come out of quarantine in SL and get moving: Dravid,"Team India head coach for the Sri Lanka tour, Rahul Dravid has said it's good for the team to come out of quarantine in Sri Lanka and added that they can start training now. ""Everyone was excited to come out, fun activities are happening,"" said pacer Bhuvneshwar Kumar. India will play three ODIs and three T20Is, beginning July 13.",sports,"Good for team to come out of quarantine in SL and get moving: Dravid. Team India head coach for the Sri Lanka tour, Rahul Dravid has said it's good for the team to come out of quarantine in Sri Lanka and added that they can start training now. ""Everyone was excited to come out, fun activities are happening,"" said pacer Bhuvneshwar Kumar. India will play three ODIs and three T20Is, beginning July 13.",good team come quarantine sl get move dravid team india head coach sri lanka tour rahul dravid say good team come quarantine sri lanka add start train everyone excited come fun activity happen say pacer bhuvneshwar kumar india play three odi three tis begin july,0.519,positive
India will get at least 15 medals in Tokyo Paralympics: Jhajharia,"The 2016 Rio Paralympics champion Devendra Jhajharia, who won gold medal in men's F-46 javelin throw category, said he feels the Indian contingent will be able to win around 15 medals at the upcoming Tokyo Paralympics. ""I feel that on the map of world sports we [India] will come forward,"" he added. Notably, Jhajharia also won gold at 2004 Paralympics. 
",sports,"India will get at least 15 medals in Tokyo Paralympics: Jhajharia. The 2016 Rio Paralympics champion Devendra Jhajharia, who won gold medal in men's F-46 javelin throw category, said he feels the Indian contingent will be able to win around 15 medals at the upcoming Tokyo Paralympics. ""I feel that on the map of world sports we [India] will come forward,"" he added. Notably, Jhajharia also won gold at 2004 Paralympics. 
",india get least medal tokyo paralympic jhajharia rio paralympic champion devendra jhajharia win gold medal men f javelin throw category say feel indian contingent able win around medal upcoming tokyo paralympic I feel map world sport [ india ] come forward add notably jhajharia also win gold paralympic,0.429,positive
"Sri Lanka record most losses in ODI history, overtake India","With their eight-wicket defeat against England in second ODI, Sri Lanka have now lost 428 matches, the most by any team in ODI history. Sri Lanka overtook India, who have lost 427 out of 993 ODIs. Sri Lanka have played 860 ODIs, out of which they have won 390. Sri Lanka and India are followed by Pakistan with 414 losses.",sports,"Sri Lanka record most losses in ODI history, overtake India. With their eight-wicket defeat against England in second ODI, Sri Lanka have now lost 428 matches, the most by any team in ODI history. Sri Lanka overtook India, who have lost 427 out of 993 ODIs. Sri Lanka have played 860 ODIs, out of which they have won 390. Sri Lanka and India are followed by Pakistan with 414 losses.",sri lanka record loss odi history overtake india eight wicket defeat england second odi sri lanka lose match team odi history sri lanka overtake india lose odi sri lanka play odis win sri lanka india follow pakistan loss,0.4,positive
"Federer is the greatest, hasn't caused scandals like Djokovic: Otte ","World number 151 Oscar Otte, who lost the second round of Wimbledon 2021 against Britain's Andy Murray, said that Roger Federer is the greatest player of all time (GOAT). ""Unfortunately, I am not objective. I admire Federer for his demeanour. He's the figurehead for tennis. He has built a flawless image and not, like Novak Djokovic, caused scandals,"" he added.",sports,"Federer is the greatest, hasn't caused scandals like Djokovic: Otte . World number 151 Oscar Otte, who lost the second round of Wimbledon 2021 against Britain's Andy Murray, said that Roger Federer is the greatest player of all time (GOAT). ""Unfortunately, I am not objective. I admire Federer for his demeanour. He's the figurehead for tennis. He has built a flawless image and not, like Novak Djokovic, caused scandals,"" he added.",federer great not cause scandal like djokovic otte world number oscar otte lose second round wimbledon britain andy murray say roger federer great player time goat unfortunately I not objective I admire federer demeanour figurehead tennis build flawless image not like novak djokovic cause scandal add,0.4,positive
Spirit is what sets England apart at Euro 2020: Manager Southgate,"England manager Gareth Southgate said it was the spirit of the whole group that set his team apart as they advanced to the semi-finals at Euro 2020 with a 4-0 win over Ukraine on Saturday. ""I've seen lots of nations go out because they don't have the spirit of these boys [who didn't get on the pitch],"" he added.
",sports,"Spirit is what sets England apart at Euro 2020: Manager Southgate. England manager Gareth Southgate said it was the spirit of the whole group that set his team apart as they advanced to the semi-finals at Euro 2020 with a 4-0 win over Ukraine on Saturday. ""I've seen lots of nations go out because they don't have the spirit of these boys [who didn't get on the pitch],"" he added.
",spirit set england apart euro manager southgate england manager gareth southgate say spirit whole group set team apart advance semi final euro win ukraine saturday I see lot nation go not spirit boy [ not get pitch ] add,0.333,positive
Harry Kane the best player I've played with: England midfielder Grealish,"England midfielder Jack Grealish said captain Harry Kane is the best player he has ever played with and tipped Kane to break the Premier League and England scoring record. ""Kane's unbelievable when he drops deep and finds passes and puts it through people's legs,"" he added. Kane scored the second goal in Tuesday's 2-0 win over Germany at Euro 2020.",sports,"Harry Kane the best player I've played with: England midfielder Grealish. England midfielder Jack Grealish said captain Harry Kane is the best player he has ever played with and tipped Kane to break the Premier League and England scoring record. ""Kane's unbelievable when he drops deep and finds passes and puts it through people's legs,"" he added. Kane scored the second goal in Tuesday's 2-0 win over Germany at Euro 2020.",harry kane good player I play england midfielder grealish england midfielder jack grealish say captain harry kane good player ever play tip kane break premier league england scoring record kane unbelievable drop deep find pass put people leg add kane score second goal tuesday win germany euro,0.325,positive
AIBA increases weight categories for both men and women boxers,"The International Boxing Association (AIBA) has decided to increase men's weight categories from 10 to 13 and women's weight categories from 10 to 12 in its competitions from August 1 this year. The featherweight (57kg), light middleweight (71kg) and the cruiserweight (86kg) have been added in men's category. In women's division, light flyweight (50kg) and light middleweight (70kg) were added.",sports,"AIBA increases weight categories for both men and women boxers. The International Boxing Association (AIBA) has decided to increase men's weight categories from 10 to 13 and women's weight categories from 10 to 12 in its competitions from August 1 this year. The featherweight (57kg), light middleweight (71kg) and the cruiserweight (86kg) have been added in men's category. In women's division, light flyweight (50kg) and light middleweight (70kg) were added.",aiba increase weight category man woman boxer international boxing association aiba decide increase men weight category women weight category competition august year featherweight kg light middleweight kg cruiserweight kg add men category women division light flyweight kg light middleweight kg add,0.3,positive
 Mithali's highest run-getter record is here to stay: Shantha Rangaswamy,"Ex-India Women captain Shantha Rangaswamy has said ODI captain Mithali Raj's record for most runs across formats in women's international cricket is ""here to stay"". ""What Mithali has achieved is comparable to achievements of the great Sunil Gavaskar and Sachin Tendulkar,"" she added. Mithali on Saturday surpassed ex-England captain Charlotte Edwards to become the highest run-getter across formats.",sports," Mithali's highest run-getter record is here to stay: Shantha Rangaswamy. Ex-India Women captain Shantha Rangaswamy has said ODI captain Mithali Raj's record for most runs across formats in women's international cricket is ""here to stay"". ""What Mithali has achieved is comparable to achievements of the great Sunil Gavaskar and Sachin Tendulkar,"" she added. Mithali on Saturday surpassed ex-England captain Charlotte Edwards to become the highest run-getter across formats.",mithalis high run getter record stay shantha rangaswamy ex india woman captain shantha rangaswamy say odi captain mithali rajs record run across format women international cricket stay mithali achieve comparable achievement great sunil gavaskar sachin tendulkar add mithali saturday surpass ex england captain charlotte edward become high run getter across format,0.28,positive
Who earns the most from each sponsored post as per HopperHQ's Instagram Rich List?,"As per the HopperHQ's Instagram Rich List, Juventus and Portugal forward Cristiano Ronaldo earns the most from each sponsored post. Ronaldo earns $1.6 million (₹11.9 crore) per post and is followed by actor Dwayne Johnson, who earns $1.523 million (₹11.3 crore) per post, as per the list. Singer Ariana Grande is on the third position, getting $1.51 million (₹11.2 crore).",sports,"Who earns the most from each sponsored post as per HopperHQ's Instagram Rich List?. As per the HopperHQ's Instagram Rich List, Juventus and Portugal forward Cristiano Ronaldo earns the most from each sponsored post. Ronaldo earns $1.6 million (₹11.9 crore) per post and is followed by actor Dwayne Johnson, who earns $1.523 million (₹11.3 crore) per post, as per the list. Singer Ariana Grande is on the third position, getting $1.51 million (₹11.2 crore).",earn sponsor post per hopperhqs instagram rich list per hopperhqs instagram rich list juventus portugal forward cristiano ronaldo earn sponsor post ronaldo earn million crore per post follow actor dwayne johnson earn million crore per post per list singer ariana grande third position get million crore,0.25,positive
"Messi officially without a club as his ₹4,900-crore 4-year contract with Barcelona expires","Six-time Ballon d'Or winner Lionel Messi is officially a free agent now after his four-year contract worth €555 million (₹4,900 crore) with Barcelona expired at midnight. The 34-year-old hasn't signed a renewal yet to extend his 20-year stay at Barcelona. As per reports, Barcelona President Joan Laporta is negotiating contract renewal directly with Messi's father and representative, Jorge Messi. ",sports,"Messi officially without a club as his ₹4,900-crore 4-year contract with Barcelona expires. Six-time Ballon d'Or winner Lionel Messi is officially a free agent now after his four-year contract worth €555 million (₹4,900 crore) with Barcelona expired at midnight. The 34-year-old hasn't signed a renewal yet to extend his 20-year stay at Barcelona. As per reports, Barcelona President Joan Laporta is negotiating contract renewal directly with Messi's father and representative, Jorge Messi. ",messi officially without club crore year contract barcelona expire six time ballon dor winner lionel messi officially free agent four year contract worth million crore barcelona expire midnight year old not sign renewal yet extend year stay barcelona per report barcelona president joan laporta negotiate contract renewal directly messis father representative jorge messi,0.225,positive
Jamieson reveals Kohli never asked him to bowl with Dukes ball during IPL,"New Zealand pacer Kyle Jamieson has revealed Virat Kohli never asked him to bowl with Dukes ball during IPL. This comes after RCB all-rounder Dan Christian said Jamieson refused to bowl with Dukes ball to Kohli in practice as the two were going to face each other in WTC final. ""Dan just...added some stuff for a good story,"" Jamieson added.",sports,"Jamieson reveals Kohli never asked him to bowl with Dukes ball during IPL. New Zealand pacer Kyle Jamieson has revealed Virat Kohli never asked him to bowl with Dukes ball during IPL. This comes after RCB all-rounder Dan Christian said Jamieson refused to bowl with Dukes ball to Kohli in practice as the two were going to face each other in WTC final. ""Dan just...added some stuff for a good story,"" Jamieson added.",jamieson reveal kohli never ask bowl duke ball ipl new zealand pacer kyle jamieson reveal virat kohli never ask bowl duke ball ipl come rcb rounder dan christian say jamieson refuse bowl duke ball kohli practice two go face wtc final dan add stuff good story jamieson add,0.209,positive
"Biggest load of b******s, absolute garbage: Ian Botham on England's rotation policy","Ex-England all-rounder Ian Botham has criticised England's rest-and-rotation policy following their consecutive Test series losses against India and New Zealand. ""Rotation policy, I think, is the biggest load of b******s of all time. Absolute garbage,"" he said. He added he wouldn't have liked someone ordering him to take a rest after a couple of ""good"" Tests during his playing days.",sports,"Biggest load of b******s, absolute garbage: Ian Botham on England's rotation policy. Ex-England all-rounder Ian Botham has criticised England's rest-and-rotation policy following their consecutive Test series losses against India and New Zealand. ""Rotation policy, I think, is the biggest load of b******s of all time. Absolute garbage,"" he said. He added he wouldn't have liked someone ordering him to take a rest after a couple of ""good"" Tests during his playing days.",big load bs absolute garbage ian botham england rotation policy ex england rounder ian botham criticise england rest rotation policy follow consecutive test series loss india new zealand rotation policy I think big load bs time absolute garbage say add would not like someone order take rest couple good test playing day,0.206,positive
Life in the old dog yet eh: Murray after Wimbledon 2nd round win,"After winning the second-round of Wimbledon by being 2-1 sets down, Britain's Andy Murray said, ""Unreal atmosphere out there tonight...thanks so much to everyone that was in there, watching and supporting...you carried me over the line, life in the old dog yet eh."" Murray defeated Germany's Oscar Otte 6-3, 4-6, 4-6, 6-4, 6-2 on Wednesday at the Centre Court. 
",sports,"Life in the old dog yet eh: Murray after Wimbledon 2nd round win. After winning the second-round of Wimbledon by being 2-1 sets down, Britain's Andy Murray said, ""Unreal atmosphere out there tonight...thanks so much to everyone that was in there, watching and supporting...you carried me over the line, life in the old dog yet eh."" Murray defeated Germany's Oscar Otte 6-3, 4-6, 4-6, 6-4, 6-2 on Wednesday at the Centre Court. 
",life old dog yet eh murray wimbledon nd round win win second round wimbledon set britain andy murray say unreal atmosphere tonight thank much everyone watch support carry I line life old dog yet eh murray defeat germanys oscar otte wednesday centre court,0.2,positive
